HS300,A股投资者增速,A股换手率,ETF 净赎回力度,融资余额增速,沪深300期指当月溢价率,50ETF PCR,沪深300相对强弱指标,上涨家数占比,情绪指标,Class
3837.73,64,41,16,48,28,89,89,42,52.125,0
3836.5,60,23,33,14,81,84,82,49,53.25,1
3921,58,37,74,38,80,96,84,87,69.25,1
3926.85,57,23,32,23,45,71,86,46,47.875,1
4021.97,58,21,11,26,51,58,90,75,48.75,0
3992.7,59,31,10,39,10,39,82,32,37.75,1
4111.91,59,36,25,52,64,93,89,84,62.75,1
4120.85,60,45,53,57,22,93,92,35,57.125,0
4104.2,56,38,68,25,39,32,97,45,50,0
3998.14,53,20,59,17,16,12,79,43,37.375,1
4003.38,51,18,67,11,37,51,74,45,44.25,0
3980.86,50,14,52,29,71,22,67,37,42.75,1
4054.6,48,11,85,28,85,81,73,60,58.875,0
4030.86,48,17,91,35,76,83,70,50,58.75,1
4138.75,41,32,45,33,77,44,76,99,55.875,1
4225,55,33,15,50,65,61,81,55,51.875,1
4285.4,61,38,32,47,68,84,78,58,58.25,1
4381.3,60,38,80,56,87,52,83,84,67.5,0
4271.23,56,28,89,20,49,45,66,17,46.25,0
3840.65,52,34,93,4,4,29,32,1,31.125,1
3966.96,29,7,79,3,28,50,34,91,40.125,1
4071.09,22,8,44,4,14,32,40,100,33,0
4016.46,61,23,84,31,33,15,38,68,44.125,1
4108.87,65,23,78,31,37,24,50,95,50.375,0
4056.42,72,29,44,36,94,16,46,22,44.875,0
3904.94,71,29,3,25,2,2,39,11,22.75,0
3898.5,68,35,96,17,22,25,35,81,47.375,0
3854.86,36,39,89,27,22,29,33,23,37.25,0
